"","RouteID","StartDestName","EndDestName","CarJourneys","","","StartDestID","EndDestID","CarTarvellers","BusJourneys","BusTarvellers","FootJourneys","FootTarvellers","BoatJourneys","BoatTarvellers","CycleJourneys","CycleTarvellers","TrainJourneys","TrainTarvellers","MotorbikeJourneys","MotorbikeTravellers","TotalJourneys","TotalTravellers"
"39","B33314-33317","Low Wood","Grizedale",5,0.00342700479780672,0.366004112405757,33314,33317,44,0,0,0,0,0,0,0,0,0,0,0,0,5,44
"40","B33323-33431","Blackpool","Windermere",5,0.00342700479780672,0.369431117203564,33323,33431,19,4,59,0,0,0,0,0,0,0,0,0,0,9,78
"41","B33334-33467","Grasmere","Wray Castle",5,0.00342700479780672,0.372858122001371,33334,33467,20,0,0,0,0,0,0,0,0,0,0,0,0,5,20
"42","B33334-33479","Grasmere","Penrith",5,0.00342700479780672,0.376285126799177,33334,33479,14,0,0,0,0,0,0,0,0,0,0,0,0,6,16
"43","B33352-33430","Tarn Hows","Bowness",5,0.00342700479780672,0.379712131596984,33352,33430,18,0,0,1,4,0,0,1,1,0,0,0,0,6,19
"44","B33352-33507","Tarn Hows","Hawkshead",5,0.00342700479780672,0.383139136394791,33352,33507,13,0,0,4,11,0,0,0,0,0,0,0,0,7,18
"45","B33358-33364","Low Arnside, Coniston","Langdales",5,0.00342700479780672,0.386566141192598,33358,33364,12,0,0,1,2,1,2,0,0,0,0,0,0,5,12
"46","B33364-33558","Langdales","Keswick",5,0.00342700479780672,0.389993145990404,33364,33558,12,2,4,2,4,0,0,0,0,0,0,0,0,7,16
"47","B33430-33507","Bowness","Hawkshead",5,0.00342700479780672,0.393420150788211,33430,33507,11,3,4,0,0,5,14,0,0,0,0,0,0,11,27
"48","B33430-33558","Bowness","Keswick",5,0.00342700479780672,0.396847155586018,33430,33558,15,1,35,1,5,0,0,0,0,0,0,0,0,6,50
"49","B33431-33507","Windermere","Hawkshead",5,0.00342700479780672,0.400274160383824,33431,33507,16,1,2,4,8,2,4,1,2,0,0,0,0,9,24
"50","B33431-33628","Windermere","Manchester",5,0.00342700479780672,0.403701165181631,33431,33628,12,0,0,0,0,0,0,0,0,4,14,0,0,9,26
"51","B33470-33510","Waterhead","Ambleside",5,0.00342700479780672,0.407128169979438,33470,33510,17,4,10,40,98,0,0,0,0,0,0,0,0,48,122
"52","B33541-33558","Troutbeck Pub, Troutbeck","Keswick",5,0.00342700479780672,0.410555174777245,33541,33558,15,0,0,1,3,0,0,0,0,0,0,0,0,5,15
"53","B33293-33358","Torver","Low Arnside, Coniston",4,0.00274160383824537,0.41329677861549,33293,33358,9,0,0,2,4,0,0,0,0,0,0,0,0,6,13
"54","B33314-33453","Low Wood","Ullswater",4,0.00274160383824537,0.416038382453735,33314,33453,14,0,0,0,0,0,0,0,0,0,0,0,0,4,14
